DIVISION_FN,GRUPO_FN,META,FINALIDAD,UNIDAD_MEDIDA,CANT_META_SEM,AVAN_FISICO_SEM,SEC_FUNC,DEPARTAMENTO,PROVINCIA,DISTRITO,CATEGORIA_GASTO,GENERICA,SUBGENERICA,SUBGENERICA_DET,ESPECIFICA,ESPECIFICA_DET,MTO_PIA
6,8,6,888,248,6,6,9,50,19,9,5,3,2,6,3,99,0
6,8,20,888,248,6,6,23,23,1,99,5,3,2,1,2,2,805
51,114,4,235454,43,16,16,41,10,19,9,5,3,2,8,1,10,0
6,8,1,888,60,6,6,4,15,1,1,5,3,2,6,3,2,0
6,8,7,888,248,6,6,10,50,69,9,5,3,2,7,11,99,8816
51,114,19,235454,43,2,2,56,17,1,99,5,3,2,8,1,4,1200
51,114,4,235454,43,16,16,41,10,19,9,5,3,1,3,1,3,1779
51,114,11,235454,43,63,63,48,80,19,9,5,3,2,8,1,4,31800
6,8,10,888,248,6,6,13,90,19,9,5,3,2,1,2,99,3910
51,114,7,235454,43,17,17,44,40,19,9,5,3,1,5,3,1,45088
6,8,5,888,248,6,6,8,40,19,9,5,3,1,3,1,1,160
51,114,6,235454,43,36,36,43,30,19,9,5,3,2,2,1,2,0
6,8,17,888,248,6,6,20,20,1,99,5,3,1,1,1,1,2165
51,114,7,235454,43,17,17,44,40,19,9,5,3,2,7,11,2,0
51,114,8,235454,43,32,32,45,50,10,1,5,3,2,6,3,4,17771
51,114,7,235454,43,17,17,44,40,19,9,5,3,2,6,3,4,9441
6,8,16,888,248,6,6,19,19,1,99,5,3,2,7,11,2,2300
51,114,23,235454,43,61,61,60,21,1,99,5,3,2,2,1,1,192697
51,114,15,235454,43,10,10,52,13,1,1,5,3,2,8,1,4,4200
51,114,22,235454,43,12,12,59,20,1,99,5,3,2,8,1,10,0
51,114,23,235454,43,61,61,60,21,1,99,5,3,2,4,2,1,418000
51,114,4,235454,43,16,16,41,10,19,9,5,3,2,4,5,1,6980
51,114,25,235454,43,4,4,62,23,1,99,5,3,1,3,1,2,855
6,8,3,888,248,6,6,6,20,19,9,5,3,2,8,1,4,600
51,114,18,417290,96,0,0,78,21,2,10,6,5,2,2,1,99,0
6,8,12,888,248,6,6,15,12,1,99,5,3,2,5,1,1,30500
51,114,5,235454,43,18,19,42,20,19,9,5,3,2,7,11,2,0
51,114,7,235454,43,17,17,44,40,19,9,5,3,2,4,5,1,15580
51,114,1,367091,96,0,0,29,10,6,4,6,5,2,2,1,99,156811
51,114,12,235454,43,51,51,49,90,19,9,5,3,2,2,1,1,115294
6,8,13,888,248,6,6,16,13,1,99,5,3,2,2,2,3,121346
51,114,16,235454,43,1,1,53,14,1,99,5,3,1,2,1,1,0
51,114,14,235454,43,26,26,51,12,1,1,5,3,2,8,1,10,0
51,114,20,235454,43,2,2,57,18,1,99,5,3,1,99,1,99,145
6,8,22,72183,60,6,6,25,15,1,1,5,3,2,8,1,4,1800
6,8,12,888,248,6,6,15,12,1,99,5,3,1,99,1,99,11039
51,114,7,235454,43,17,17,44,40,19,9,5,3,2,6,3,3,3240
51,114,4,235454,43,16,16,41,10,19,9,5,3,2,6,3,99,16213
51,114,27,235455,60,6,6,64,15,1,1,5,3,2,8,1,10,0
51,114,23,235454,43,61,61,60,21,1,99,5,3,1,8,1,99,233
51,114,22,235454,43,12,12,59,20,1,99,5,3,1,7,1,1,7249
51,114,19,235454,43,2,2,56,17,1,99,5,3,2,8,1,2,4666
6,8,21,888,248,6,6,24,25,1,99,5,3,2,2,2,1,0
6,8,1,888,60,6,6,4,15,1,1,5,3,1,1,1,1,875
6,8,20,888,248,6,6,23,23,1,99,5,3,2,5,1,1,24000
51,114,19,235454,43,2,2,56,17,1,99,5,3,2,2,2,1,1140
51,114,26,235454,43,6,6,63,25,1,99,5,3,1,3,1,3,553
51,114,13,235454,43,41,41,50,10,1,1,5,3,2,8,1,5,0
51,114,10,235454,43,20,20,47,60,19,9,5,3,1,8,1,99,191
6,8,10,888,248,6,6,13,90,19,9,5,3,2,5,1,1,3990
6,8,17,888,248,6,6,20,20,1,99,5,3,2,1,2,99,4178
6,8,1,888,60,6,6,4,15,1,1,5,3,2,9,1,1,1178750
6,8,1,888,60,6,6,4,15,1,1,5,3,2,7,11,6,11671
6,8,1,888,60,6,6,4,15,1,1,5,3,2,7,11,2,7659
51,114,26,235454,43,6,6,63,25,1,99,5,3,2,4,7,1,0
51,114,9,235454,43,19,19,46,50,60,1,5,3,1,3,1,2,813
51,114,16,235454,43,1,1,53,14,1,99,5,3,1,3,1,3,68
51,114,23,235454,43,61,61,60,21,1,99,5,3,2,6,3,99,55437
